file	Condition
14b6ecd7-edc4-440f-9a05-5feec802d8b2.htseq.counts	F

0ab7a8af-1cee-430c-9b5e-d122266e043b.htseq.counts	F

79d0d00c-5161-4cd3-884a-021a58c5d00a.htseq.counts	F

233c27d4-0c99-4f39-9444-0a99ab9f70cc.htseq.counts	F

9b9647f1-6979-429f-8518-9474142fc449.htseq.counts	F

b480a6b6-76ee-48d0-a9a9-8989c124d412.htseq.counts	F

2032e9c3-6e28-419c-a26c-2b14498bafaf.htseq.counts	F

186bbe47-3c00-4501-b22f-cb92c2269cb1.htseq.counts	F

fedab71c-2700-4b75-ac49-15e5b5dbccb8.htseq.counts	F

beff2a07-3661-4026-b597-9b7226b6457a.htseq.counts	F

f1fd9770-0dbb-4be3-8bba-a65e8738aa54.htseq.counts	F

82a9ea33-8efb-46c1-8f9f-fdf49ac56d44.htseq.counts	F

a79b9faf-d133-461b-a228-cc6f3b66ee8f.htseq.counts	F

97604bc9-51ff-4a0a-b4a2-cecf70e6e16d.htseq.counts	F

d84de4b9-fc0f-44aa-9262-74b6f0417db2.htseq.counts	F

6b28f6e2-3ef7-460c-aed5-d729c0b5e6a1.htseq.counts	F

ffe5aa43-baad-4091-b41b-8ff9e02fdcca.htseq.counts	F

fe9525e1-e83e-40ce-a2e2-91a8a6d0c982.htseq.counts	F

7da8f140-ac80-487a-98f7-da3bf3488df3.htseq.counts	F

04098317-63b1-43eb-9b7f-e8e619e52781.htseq.counts	F

15241763-4cf7-452e-bc24-b3d877348b2d.htseq.counts	F

25d6dd26-51c7-40dd-962a-c00abb70c5cb.htseq.counts	F

e47d5da5-4752-46d0-846f-f626be1793ed.htseq.counts	F

24b7176d-483b-416e-8ecd-d3beae934fc3.htseq.counts	F

054352e9-a6fb-4f61-b524-2741017c2bbf.htseq.counts	F

7d5d98d6-91b7-470f-879c-8e83ab4d3fc6.htseq.counts	F

2ad549b2-56d8-4047-a398-cbe1f6295722.htseq.counts	F

43622957-7bed-4d24-a31e-5fadf41216e1.htseq.counts	F

67fd4b38-5a38-487d-a235-064580064739.htseq.counts	M

798e9f56-9964-4544-9d06-6a3aea20d0a6.htseq.counts	F

cc133a8a-77ad-4570-852e-df72548c6897.htseq.counts	M

d7d3fe8e-3885-44e8-934c-50f2a3bbfb2f.htseq.counts	F

855d4a17-5c83-429d-919b-8c2a8e9bab0b.htseq.counts	M

fef65b57-c58d-4050-8de4-f09f5cd616ce.htseq.counts	M

c642e018-f0cb-4be8-9b19-c944f1daf9cf.htseq.counts	M

82275c4f-5976-40e0-ac70-c74250de34ac.htseq.counts	M

32662b7d-7abd-4ec4-b802-869292832cfc.htseq.counts	F

b244f324-fd8a-4d4b-b8f5-bad973c649d5.htseq.counts	M

0143419f-2abe-4906-bb55-af6010fab05f.htseq.counts	M

057aa9ac-f22c-4c11-a44d-ad52ae59b4cf.htseq.counts	M

c48dcdef-8805-4887-bacc-e351613886a0.htseq.counts	F

a6ad90fe-ccfe-47ce-9e5a-95f5e7acf761.htseq.counts	F

fe2ee510-b575-4983-b16e-c8c8dc699916.htseq.counts	M

57ca9711-f3fa-44a9-9f0e-adb315107f8c.htseq.counts	M

f961ee85-4b94-4052-b930-125ca8215877.htseq.counts	M

2cf39fef-9135-401a-a08e-ae5a7bf48ada.htseq.counts	M

926b6dfe-cd94-4fae-bc95-18dec0f49145.htseq.counts	M

cdfef249-52f9-4256-959d-cc85a01d5413.htseq.counts	M

143e7f2d-1adb-4d50-a2ff-8b36a7ca41ce.htseq.counts	M

7f83f383-9b82-4a15-a418-0f4ca1252ca2.htseq.counts	M

3a8adea5-5520-41de-aed8-dfce2d52386e.htseq.counts	M

02d936a2-14a6-43f1-90f5-eb5b14823f2d.htseq.counts	M

cf9410ef-5f77-4055-850e-5d764b502a68.htseq.counts	M

98ecea60-b27e-4a2a-94cd-f3c606f462f8.htseq.counts	M

1f9a253a-5277-4959-95ae-469e022c66fd.htseq.counts	M

dff23fef-04fe-460e-8a3a-c0465936e843.htseq.counts	M

c7d5bf94-89a5-4bc8-8a63-615f0dbe5c5e.htseq.counts	M

44c769d3-882e-4ef8-965c-175747022d3b.htseq.counts	M

ecff0d66-7705-4671-9d00-99eced84c7d1.htseq.counts	M

50be2bde-ac1f-4c1d-9890-07ddfd135ca1.htseq.counts	M

a772773c-9c24-4eb0-bd27-70c8a72b2f51.htseq.counts	M

6a224b44-019b-4bb5-9825-2dd2e7ebb6a6.htseq.counts	M

e90ec2ca-00f6-41d5-9523-bfbdbce43238.htseq.counts	M

be92710e-bd60-4621-ae3d-d6f5ed434532.htseq.counts	M

a58b2a84-1a82-4953-ac13-a2e6b1cb537c.htseq.counts	M

e492d61d-34be-4271-aaba-1d5d15a355fa.htseq.counts	M

f11ab3cc-8998-44e2-95c3-f3c3a1e81fba.htseq.counts	M

db60e041-1296-4f1a-b251-c3a33cb7043d.htseq.counts	M

e62db7dd-e3f3-44e0-948d-d94bb98becc2.htseq.counts	M

f7172c51-5d20-4d83-bbd1-5b8e3509ee09.htseq.counts	M

1319093a-4b91-44a3-a115-50f5a09b95e1.htseq.counts	M

1e775e55-1269-421b-a8db-acaf168e2c70.htseq.counts	M

ef2769d9-a237-40c7-833d-39095fd0e8fd.htseq.counts	M

b2eeb27d-e32c-4687-a952-f33f9b0c120d.htseq.counts	M

af992a15-4986-4063-929f-096cde2b16f3.htseq.counts	M

d9f879fd-f750-4de3-8466-8445ec6c22ca.htseq.counts	M

55f30812-1dc9-4ca8-b3f7-7762de3f961d.htseq.counts	M

93a7af2c-17ea-4291-a0a1-078cce01eba8.htseq.counts	M

a9dcde7c-0079-47f5-a36f-99abe8bbeb37.htseq.counts	M

c2b74b45-b8e5-4099-bcf9-68c34c8eeb73.htseq.counts	M

af5c9e80-5452-43b7-a4a2-5396b43f9491.htseq.counts	M

2fe73407-3eb4-49ca-8eb7-4d0dfbba895a.htseq.counts	M

ff2ef2fb-89f8-4dd9-8143-96fd0583c58a.htseq.counts	M

f3e30992-70da-43fc-b0f4-69e53fa60474.htseq.counts	M

d6c8d6ea-0674-4028-b5bd-dee7f023f23a.htseq.counts	M

a9cda68e-2f29-424c-a9d4-1e31fd1a7d8f.htseq.counts	F

c670b26e-b107-4279-bdd1-7ed502023f45.htseq.counts	F

5826cb77-039f-4dbb-954a-6e024f3d35c6.htseq.counts	M

94cda1d7-c20f-4f95-a09f-74cc7f229aac.htseq.counts	F

008b8100-7bd6-4224-998c-700863de51da.htseq.counts	M

7400ffec-f429-4d6b-bb44-553fa3ae477d.htseq.counts	F

9b4da907-db4f-4540-a9bc-97fcd7f36721.htseq.counts	F

6d8f7120-d3b2-4786-9f70-cce4c99218ec.htseq.counts	F

7cd30f34-de43-428b-972e-e24f89a8cc60.htseq.counts	F

4640600f-7406-484d-9c2e-535abba8c2ff.htseq.counts	F

8e005663-7eb4-4628-9df8-36d4653a3207.htseq.counts	F

c95b886e-e0ef-4882-b9b6-15e7272f753c.htseq.counts	M

73451252-7198-4187-93b0-16a76843c8c0.htseq.counts	M

864475a1-413c-46f8-8227-9ae03a71a5fc.htseq.counts	M

6a0ed4e6-eeae-4648-9301-855964d285e3.htseq.counts	M

5a6ae122-802a-4d8c-848b-cd723d8e13df.htseq.counts	M

fcbfcb8e-4d04-4f05-acff-86bea338b3dd.htseq.counts	F

b4a795d4-cada-4d9e-ad4f-88fe5942ad70.htseq.counts	F

944ee313-bcf5-480c-9ce8-05821746fb34.htseq.counts	F

73a5d017-f908-4775-9df4-eb054001bf10.htseq.counts	F

7bee2aa3-6284-4f17-91e0-a5ceb25cf3c4.htseq.counts	F

2779f652-26c4-48fc-b2ea-102af2c8ab9b.htseq.counts	F

8c36d9be-a7fb-46d3-9ef5-be7fe874873c.htseq.counts	F

70feda2e-27ef-4350-a1d9-587b40562e88.htseq.counts	F

a829d13e-6fd6-4a24-809b-d9fdc08c6ea6.htseq.counts	F

c81f9043-a47c-4b54-87e9-f24838585599.htseq.counts	F

2afe0c46-c97a-4475-af30-dc60f5634d95.htseq.counts	M

0f3beda2-2e63-4c8f-bdbb-448c8c17c3f2.htseq.counts	F

b2016510-5d0b-45be-b39a-a06baa68e6e0.htseq.counts	F

b77a376c-62f6-4bcf-9930-f2fb0785e329.htseq.counts	M

0e94f470-f240-474e-867d-bde7c803b6a4.htseq.counts	F

818cabd7-e726-4153-8922-688aed1c9f4c.htseq.counts	F

b6a919d3-01a7-4f8d-b6db-6783eb4a855f.htseq.counts	M

4486a4fb-820a-4ee8-998c-f716e52b73df.htseq.counts	F

81eb8510-d674-4bb4-bf67-b3a59ca2836b.htseq.counts	M

6e29236f-8b2f-40e7-a79f-e4466402e556.htseq.counts	F

39113e53-0d26-4616-b23e-fb4c70dec853.htseq.counts	F

dbb86540-cd61-42ed-8487-b90834faa6af.htseq.counts	F

40b37a9a-db72-43b1-9b11-3c4f69b4b36e.htseq.counts	F

0b6fc206-ed9d-4369-ae39-a31e9ef46543.htseq.counts	F

17915009-ea55-4f1d-b745-c6724a0d0060.htseq.counts	F

b75773b0-6750-4158-befd-bb55e171ffb5.htseq.counts	F

9e573b8f-4762-46b9-b757-4b54ed9c6320.htseq.counts	M

87eea66b-23f3-46ca-a0d6-7724b3d0da3d.htseq.counts	F

f2b7624d-a767-498f-91cb-e5d2455c2b87.htseq.counts	F

d460b6c4-dffd-4121-a62e-df67500d7a71.htseq.counts	F

